Unnamed: 0,price,mark,model,year,mileage,engine_capacity,transmission,drive,hand_drive,fuel,Cluster
152,490,toyota,passo,2011,115200,1000,at,2wd,rhd,gasoline,2
153,490,nissan,cube,2010,137000,1500,at,2wd,rhd,gasoline,2
154,490,toyota,passo,2011,93600,1000,at,2wd,rhd,gasoline,2
155,490,nissan,march,2011,103000,1200,at,2wd,rhd,gasoline,2
156,490,nissan,march,2011,77000,1200,at,2wd,rhd,gasoline,2
157,490,nissan,march,2006,68000,1200,at,2wd,rhd,gasoline,2
158,490,toyota,passo,2010,96000,1000,at,2wd,rhd,gasoline,2
159,490,nissan,cube,2011,135000,1500,at,2wd,rhd,gasoline,2
160,490,nissan,march,2011,71000,1200,at,2wd,rhd,gasoline,2
161,490,toyota,passo,2011,188600,1000,at,2wd,rhd,gasoline,2
162,490,nissan,tiida,2010,98000,1500,at,4wd,rhd,gasoline,2
163,490,toyota,passo,2010,91000,1000,at,2wd,rhd,gasoline,2
164,490,nissan,cube,2010,115000,1500,at,2wd,rhd,gasoline,2
165,490,nissan,note,2007,19000,1500,at,2wd,rhd,gasoline,2
166,490,toyota,vitz,2007,82000,1000,at,2wd,rhd,gasoline,2
167,490,toyota,bb,2010,119000,1500,at,2wd,rhd,gasoline,2
168,490,nissan,note,2012,178400,1500,at,2wd,rhd,gasoline,2
169,490,nissan,cube,2012,126300,1500,at,2wd,rhd,gasoline,2
170,490,honda,step wgn,2006,169400,2000,at,2wd,rhd,gasoline,2
171,490,nissan,moco,2013,199000,660,at,2wd,rhd,gasoline,2
172,490,nissan,tiida,2010,98000,1500,at,2wd,rhd,gasoline,2
173,490,nissan,clipper truck,2012,219300,660,mt,4wd,rhd,gasoline,2
174,490,daihatsu,esse,2008,120600,660,at,2wd,rhd,gasoline,2
175,490,nissan,cube,2008,78700,1400,at,2wd,rhd,gasoline,2
176,490,toyota,bb,2009,128300,1500,at,2wd,rhd,gasoline,2
177,490,mitsubishi,ek wagon,2012,117000,660,at,2wd,rhd,gasoline,2
178,495,suzuki,swift,2006,67974,1300,at,2wd,rhd,gasoline,2
179,495,suzuki,swift,2008,62752,1200,at,2wd,rhd,gasoline,2
180,495,volkswagen,polo,2009,22668,1400,at,2wd,rhd,gasoline,2
181,498,nissan,x-trail,2005,115934,1990,at,2wd,rhd,gasoline,2
182,500,nissan,cube,2011,37000,1500,at,2wd,rhd,gasoline,2
183,500,nissan,cube,2011,94000,1500,at,2wd,rhd,gasoline,2
184,500,nissan,note,2010,42000,1500,at,2wd,rhd,gasoline,2
185,500,nissan,note,2010,121000,1500,at,2wd,rhd,gasoline,2
186,500,toyota,passo,2011,104000,1000,at,2wd,rhd,gasoline,2
187,500,nissan,march,2011,76000,1200,at,2wd,rhd,gasoline,2
188,500,mitsubishi,pajero mini,2003,146000,660,at,4wd,rhd,gasoline,2
189,500,nissan,note,2010,154000,1500,at,2wd,rhd,gasoline,2
190,500,mazda,atenza sport,2007,241000,1500,at,2wd,rhd,gasoline,2
191,500,nissan,note,2008,81000,1500,at,2wd,rhd,gasoline,2
192,500,nissan,ad van,2013,210000,1500,at,2wd,rhd,gasoline,2
193,500,mitsubishi,delica d2,2012,142200,1200,at,2wd,rhd,gasoline,2
194,500,toyota,pixis space,2012,142100,660,at,2wd,rhd,gasoline,2
195,500,honda,freed spike,2012,192200,1500,at,2wd,rhd,gasoline,2
196,500,honda,stream,2009,82500,1800,at,2wd,rhd,gasoline,2
197,500,suzuki,alto,2004,70000,660,at,2wd,rhd,gasoline,2
200,520,honda,fit,2007,121134,1290,at,4wd,rhd,gasoline,2
201,526,toyota,passo,2010,37195,1000,at,2wd,rhd,gasoline,2
202,530,toyota,raum,2003,60000,1500,at,4wd,rhd,gasoline,2
203,530,nissan,note,2012,121000,1500,at,2wd,rhd,gasoline,2
204,530,nissan,cube,2012,125000,1500,at,2wd,rhd,gasoline,2
205,530,toyota,passo,2011,108000,1000,at,2wd,rhd,gasoline,2
206,530,nissan,cube,2010,66000,1500,at,2wd,rhd,gasoline,2
207,540,nissan,note,2007,84000,1500,at,2wd,rhd,gasoline,2
208,540,nissan,cube,2013,138000,1500,at,2wd,rhd,gasoline,2
209,540,toyota,passo,2011,114000,1000,at,2wd,rhd,gasoline,2
210,540,nissan,note,2007,32000,1500,at,2wd,rhd,gasoline,2
211,541,toyota,sienta,2005,47190,1500,at,2wd,rhd,gasoline,2
212,541,mazda,verisa,2005,57907,1500,at,2wd,rhd,gasoline,2
213,541,toyota,passo,2009,65851,1000,at,2wd,rhd,gasoline,2
214,541,honda,fit,2007,32899,1300,at,2wd,rhd,gasoline,2
215,541,honda,fit,2007,69280,1500,at,2wd,rhd,gasoline,2
216,541,toyota,vitz,2007,62538,1000,at,2wd,rhd,gasoline,2
217,541,toyota,passo,2010,48630,1000,at,2wd,rhd,gasoline,2
218,550,toyota,wish,2005,100300,2000,at,2wd,rhd,gasoline,2
219,550,nissan,cube,2012,92000,1500,at,2wd,rhd,gasoline,2
220,550,nissan,note,2011,44400,1500,at,2wd,rhd,gasoline,2
221,550,nissan,tiida,2010,109000,1500,at,2wd,rhd,gasoline,2
222,550,nissan,note,2011,56000,1500,at,2wd,rhd,gasoline,2
223,550,toyota,bb,2011,130000,1500,at,2wd,rhd,gasoline,2
224,550,nissan,march,2011,32000,1200,at,2wd,rhd,gasoline,2
225,550,nissan,note,2011,119000,1500,at,2wd,rhd,gasoline,2
226,550,toyota,passo,2011,119000,1000,at,2wd,rhd,gasoline,2
227,550,toyota,passo,2011,81000,1000,at,2wd,rhd,gasoline,2
228,550,toyota,passo,2010,70000,1000,at,2wd,rhd,gasoline,2
229,550,toyota,passo,2011,90000,1000,at,2wd,rhd,gasoline,2
230,550,toyota,passo,2011,78000,1000,at,2wd,rhd,gasoline,2
231,550,nissan,note,2010,105000,1500,at,2wd,rhd,gasoline,2
232,550,nissan,march,2011,116000,1200,at,2wd,rhd,gasoline,2
233,550,toyota,passo,2011,115000,1000,at,2wd,rhd,gasoline,2
234,550,toyota,passo,2010,117000,1300,at,2wd,rhd,gasoline,2
235,550,toyota,passo,2011,100000,1000,at,2wd,rhd,gasoline,2
236,550,suzuki,every,2011,148000,660,at,2wd,rhd,gasoline,2
237,550,toyota,passo,2011,101000,1000,at,2wd,rhd,gasoline,2
238,550,toyota,passo,2011,117000,1000,at,2wd,rhd,gasoline,2
239,550,toyota,passo,2011,143000,1000,at,2wd,rhd,gasoline,2
240,550,toyota,passo,2011,53000,1000,at,2wd,rhd,gasoline,2
241,550,toyota,passo,2010,64000,1000,at,2wd,rhd,gasoline,2
242,550,mazda,demio,2005,115000,1300,at,2wd,rhd,gasoline,2
243,550,nissan,note,2012,57000,1500,at,2wd,rhd,gasoline,2
244,550,nissan,cube,2013,126000,1500,at,2wd,rhd,gasoline,2
245,550,toyota,vitz,2005,149954,1290,at,2wd,rhd,gasoline,2
246,550,toyota,passo,2012,144800,1000,at,2wd,rhd,gasoline,2
247,550,suzuki,jimny,1998,240500,660,at,4wd,rhd,gasoline,2
248,550,mazda,premacy,2012,200800,2000,at,2wd,rhd,gasoline,2
249,550,toyota,vitz,2010,153400,1000,at,2wd,rhd,gasoline,2
250,550,nissan,x-trail,2002,152700,2000,at,4wd,rhd,gasoline,1
251,550,honda,cr-v,1999,183000,2000,at,4wd,rhd,gasoline,1
252,550,suzuki,lapin,2006,119300,650,at,2wd,rhd,gasoline,2
253,551,mitsubishi,delica,1982,58099,1430,mt,2wd,rhd,gasoline,1
254,560,suzuki,wagon r,2003,90265,650,at,2wd,rhd,gasoline,2
255,560,honda,fit,2004,74200,1300,at,2wd,rhd,gasoline,2
256,560,volkswagen,passat,2002,69900,2320,at,2wd,rhd,gasoline,1
257,560,toyota,wish,2003,87764,1790,at,4wd,rhd,gasoline,2
258,560,honda,fit,2003,83900,1300,at,2wd,rhd,gasoline,2
259,569,honda,fit,2005,116000,1300,at,2wd,rhd,gasoline,2
260,570,mazda,verisa,2009,80961,1490,at,2wd,rhd,gasoline,2
261,570,honda,fit,2011,169240,1290,at,2wd,rhd,gasoline,2
262,570,mitsubishi,colt,2009,74000,1330,at,2wd,rhd,gasoline,2
263,570,mitsubishi,lancer,2008,99000,1460,at,4wd,rhd,gasoline,2
264,570,daihatsu,naked,2001,90000,650,at,2wd,rhd,gasoline,2
265,570,honda,fit,2004,138000,1330,at,2wd,rhd,gasoline,2
266,570,suzuki,swift,2003,119000,1320,at,2wd,rhd,gasoline,2
267,570,toyota,vitz,2008,68335,1000,at,2wd,rhd,gasoline,2
268,578,honda,odyssey,2011,146031,2400,at,2wd,rhd,gasoline,2
269,579,honda,fit,2006,36000,1300,at,2wd,rhd,gasoline,2
270,579,nissan,note,2007,105101,1500,at,2wd,rhd,gasoline,2
271,580,honda,insight,2009,156755,1290,at,2wd,rhd,gasoline,2
272,580,honda,fit,2011,288835,1290,at,2wd,rhd,gasoline,2
273,580,toyota,sienta,2005,71986,1500,at,2wd,rhd,gasoline,2
274,580,toyota,ractis,2009,95306,1300,at,2wd,rhd,gasoline,2
275,580,nissan,note,2011,43600,1500,at,2wd,rhd,gasoline,2
276,580,toyota,passo,2010,134000,1000,at,2wd,rhd,gasoline,2
277,580,mazda,demio,2003,69000,1300,at,2wd,rhd,gasoline,2
278,580,mitsubishi,ek wagon,2010,91000,660,at,4wd,rhd,gasoline,2
279,580,toyota,ractis,2006,107500,1300,at,2wd,rhd,gasoline,2
280,587,toyota,porte,2011,68251,1300,at,2wd,rhd,gasoline,2
281,588,mazda,verisa,2005,77720,1500,at,2wd,rhd,gasoline,2
282,588,toyota,ractis,2006,45724,1300,at,2wd,rhd,gasoline,2
283,588,toyota,vitz,2009,59480,1000,at,2wd,rhd,gasoline,2
284,588,toyota,avensis,2005,88659,2000,at,2wd,rhd,gasoline,2
