Unnamed: 0,price,mark,model,year,mileage,engine_capacity,transmission,drive,hand_drive,fuel,Cluster
373,650,mitsubishi,colt,2011,45600,1300,at,2wd,rhd,gasoline,2
374,650,toyota,ractis,2009,184100,1500,at,2wd,rhd,gasoline,2
375,650,mazda,demio,2003,46000,1300,at,2wd,rhd,gasoline,2
376,650,mazda,demio,2003,99000,1300,at,2wd,rhd,gasoline,2
377,650,nissan,serena,2009,159800,2000,at,2wd,rhd,gasoline,2
378,650,toyota,passo,2007,36500,1000,at,2wd,rhd,gasoline,2
379,650,honda,edix,2005,124252,1700,at,2wd,rhd,gasoline,2
380,650,nissan,tiida,2011,145400,1500,at,2wd,rhd,gasoline,2
381,650,nissan,moco,2013,139500,660,at,2wd,rhd,gasoline,2
382,650,suzuki,wagon r,2004,80100,660,at,2wd,rhd,gasoline,2
383,650,daihatsu,move custom,2004,64700,660,at,2wd,rhd,gasoline,2
384,650,mazda,premacy,2012,175500,2000,at,2wd,rhd,gasoline,2
385,650,subaru,impreza anesis,2009,133000,1500,at,2wd,rhd,gasoline,2
386,650,honda,step wgn,2005,109534,1990,at,2wd,rhd,gasoline,1
387,653,toyota,passo,2007,73000,1000,at,2wd,rhd,gasoline,2
388,653,toyota,voxy,2005,137084,1990,at,2wd,rhd,gasoline,1
389,653,nissan,tiida,2004,73041,1500,at,2wd,rhd,gasoline,2
390,653,mazda,premacy,2007,55101,2000,at,2wd,rhd,gasoline,2
391,653,nissan,note,2008,99000,1500,at,2wd,rhd,gasoline,2
392,653,honda,edix,2004,71000,1700,at,2wd,rhd,gasoline,2
393,653,toyota,ractis,2006,89000,1300,at,2wd,rhd,gasoline,2
394,653,toyota,ractis,2006,91000,1300,at,2wd,rhd,gasoline,2
395,653,toyota,estima,2003,70250,2400,at,2wd,rhd,gasoline,1
396,653,honda,stream,2005,100400,2000,at,2wd,rhd,gasoline,2
397,655,honda,fit,2005,105892,1300,at,2wd,rhd,gasoline,2
398,660,honda,fit,2001,82000,1330,at,2wd,rhd,gasoline,0
399,660,honda,fit,2005,79000,1330,at,2wd,rhd,gasoline,2
400,660,toyota,passo,2006,121000,990,at,2wd,rhd,gasoline,2
401,660,nissan,sunny,2003,28000,1490,at,2wd,rhd,gasoline,2
402,660,toyota,passo,2006,135000,990,at,2wd,rhd,gasoline,2
403,660,nissan,march,2006,92000,1240,at,2wd,rhd,gasoline,2
404,660,toyota,passo,2005,137000,990,at,2wd,rhd,gasoline,2
405,660,daihatsu,terios kid,2001,176000,650,mt,4wd,rhd,gasoline,2
406,660,nissan,tiida latio,2006,40000,1490,at,2wd,rhd,gasoline,2
407,660,toyota,passo,2008,57000,1290,at,2wd,rhd,gasoline,2
408,660,toyota,platz,2005,67000,1290,at,4wd,rhd,gasoline,2
409,660,suzuki,carry truck,2002,92000,650,at,2wd,rhd,gasoline,2
410,660,mitsubishi,pajero mini,1996,109750,660,mt,2wd,rhd,gasoline,0
411,663,honda,fit,2009,40898,1300,at,2wd,rhd,gasoline,2
412,663,toyota,vitz,2006,30673,1500,at,2wd,rhd,gasoline,2
413,670,nissan,x-trail,2001,163691,1990,at,4wd,rhd,gasoline,1
414,670,honda,insight,2009,161809,1290,at,2wd,rhd,gasoline,2
415,670,volkswagen,polo,2003,57000,1400,at,2wd,rhd,gasoline,2
416,670,suzuki,solio,2011,200000,1200,at,2wd,rhd,gasoline,2
417,672,toyota,passo,2004,23835,1300,at,2wd,rhd,gasoline,2
418,679,suzuki,carry truck,2001,57083,660,mt,2wd,rhd,gasoline,0
419,680,toyota,ractis,2006,58000,1290,at,2wd,rhd,gasoline,2
420,680,mazda,mpv,2005,189800,2200,at,4wd,rhd,gasoline,1
421,680,mazda,demio,2003,100000,1500,at,2wd,rhd,gasoline,2
422,680,mazda,verisa,2007,69000,1500,at,2wd,rhd,gasoline,2
423,680,nissan,cube cubic,2004,96400,1400,at,2wd,rhd,gasoline,2
424,681,toyota,platz,2004,42692,1500,at,2wd,rhd,gasoline,2
425,681,toyota,sienta,2007,62079,1500,at,2wd,rhd,gasoline,2
426,681,toyota,vitz,2007,58112,1000,at,2wd,rhd,gasoline,2
427,681,honda,fit,2009,69987,1300,at,2wd,rhd,gasoline,2
428,681,toyota,ractis,2006,66783,1500,at,2wd,rhd,gasoline,2
429,681,toyota,vitz,2009,40722,1000,at,2wd,rhd,gasoline,2
430,681,toyota,vitz,2009,62120,1000,at,2wd,rhd,gasoline,2
431,681,toyota,raum,2009,55423,1500,at,2wd,rhd,gasoline,2
432,681,toyota,vitz,2007,27000,1300,at,2wd,rhd,gasoline,2
433,681,nissan,vanette van,2009,115973,1800,at,2wd,rhd,gasoline,2
434,689,toyota,vitz,2007,35025,1000,at,2wd,rhd,gasoline,2
435,690,honda,insight,2009,200283,1290,at,2wd,rhd,gasoline,2
436,690,honda,accord,2006,109450,1990,at,4wd,rhd,gasoline,2
437,690,mazda,tribute,2002,54587,1990,at,2wd,rhd,gasoline,1
438,690,suzuki,swift,2010,98000,1200,at,2wd,rhd,gasoline,2
439,690,toyota,porte,2004,86409,1500,at,2wd,rhd,gasoline,2
440,690,nissan,note,2009,90000,1500,at,2wd,rhd,gasoline,2
441,690,toyota,passo,2012,95000,1000,at,2wd,rhd,gasoline,2
442,690,toyota,vitz,2010,28100,1300,at,2wd,rhd,gasoline,2
443,690,toyota,passo,2010,115000,1000,at,2wd,rhd,gasoline,2
444,690,toyota,passo,2010,117000,1000,at,2wd,rhd,gasoline,2
